Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2018,352.125,353.332,355.109,357.725,358.741,360.277,361.296,362.709,364.493,365.443,366.574,367.831,360.471,356.218,364.724
2019,369.294,371.743,373.265,375.066,375.869,378.241,379.331,380.668,381.832,382.524,384.01,384.958,378.067,373.913,382.221
2020,385.738,386.813,387.573,389.571,390.476,391.458,392.021,392.128,391.998,391.973,391.008,391.045,390.15,388.605,391.696
2021,391.601,392.372,392.227,391.614,392.634,394.234,395.231,395.806,396.13,397.17,399.307,400.507,394.903,392.447,397.359
