Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2018,106.168,111.522,115.021,114.195,107.820,105.173,107.346,107.594,111.272,112.145,107.913,103.518,109.141,109.983,108.298
2019,108.962,107.306,109.928,110.382,108.695,107.736,105.821,107.937,112.308,109.325,106.580,106.453,108.453,108.835,108.071
2020,112.147,114.583,109.624,103.359,103.244,104.058,105.437,108.784,112.550,110.685,109.352,104.579,108.200,107.836,108.565
2021,107.232,107.305,111.445,110.832,110.660,108.881,107.807,111.691,110.378,111.738,111.799,111.021,110.066,109.393,110.739
